Defense,,,,
"",G,W-L,PTS,AVG/G
1 Princeton,12,12-0,519,43.3
2 Columbia,13,11-2,731,56.2
3 Yale,13,8-5,741,57.0
4 Penn,13,7-6,769,59.2
5 Cornell,13,4-9,813,62.5
6 Dartmouth,13,2-11,847,65.2
7 Harvard,12,6-6,795,66.3
8 Brown,13,1-12,916,70.5
O,ense,,,,
"",,G,W-L,PTS,AVG/G
1,Harvard,12,6-6,870,72.5
2,Princeton,12,12-0,851,70.9
3,Penn,13,7-6,832,64.0
4,Columbia,13,11-2,828,63.7
5,Yale,13,8-5,759,58.4
6,Brown,13,1-12,717,55.2
7,Cornell,13,4-9,663,51.0
8,Dartmouth,13,2-11,611,47.0
Margin,,,,
"",G,O ense,Defense,Margin
1 Princeton,12,70.9,43.3,27.7
2 Columbia,13,63.7,56.2,7.5
3 Harvard,12,72.5,66.3,6.3
4 Penn,13,64.0,59.2,4.8
5 Yale,13,58.4,57.0,1.4
6 Cornell,13,51.0,62.5,-11.5
7 Brown,13,55.2,70.5,-15.3
8 Dartmouth,13,47.0,65.2,-18.2
